realisation,P,tp,e,omega,K,gamma,jitter,n_solves
0,20.885253028230167,2455895.715054937,0.3343778280279327,0.994153717180865,5.065463787545788,,0.11598458958986681,128320
1,20.88505480258675,2455895.5534965517,0.32926334298264526,0.9157931938063267,5.193748390635761,,0.2631419760082794,133132
2,20.8852044884818,2455895.6792354328,0.32922283021706006,0.9978876607442707,5.06785159797611,,9.216453261738463e-10,121102
3,20.88453860972024,2455895.7048608228,0.33349205117087644,0.9754376069427224,4.96133138771864,,0.09934430751368765,140751
4,20.885534684463067,2455895.8661907655,0.3037150722697707,1.0396367448098807,4.789289967074582,,0.46194641814953324,124711
5,20.88467127369705,2455895.7339770296,0.31296916447377265,1.0229589947991475,5.100577361920878,,0.08319294213404912,142756
6,20.885541504910236,2455895.864701185,0.34719136097471615,1.057558925448092,5.180760997279984,,3.6046686968187634e-08,135137
7,20.884452072916154,2455895.663835521,0.3461446857974755,0.9975071949241089,4.958903873275778,,0.4173279636177694,148771
8,20.885618790755895,2455896.049324026,0.29317573745170405,1.0905558276871787,5.005146827966554,,0.07296593531212346,131528
9,20.885669980222996,2455895.531440728,0.33998617452753316,0.9243020194274794,4.9359618333533755,,0.20785812743145535,142756
10,20.885057432006818,2455895.8639320387,0.33492589774249304,1.04110917948047,4.925245439371148,,0.22838894029498677,123508
11,20.885665389811315,2455895.9182493812,0.34339669137644335,1.0773663081915623,5.017063808384054,,0.13432663921940968,127919
12,20.885147377314286,2455895.7144396086,0.32990877989831935,0.9895629724920451,5.018127103215877,,0.3662097688550509,142756
13,20.885737497354455,2455895.6907399804,0.336924949224853,0.9949268140368192,4.930681496372879,,0.023602453740634705,139548
14,20.885710690295646,2455895.7459697532,0.34609190434846615,1.0455702226631944,5.032642073178186,,4.2298424083227665e-07,79799
15,20.88537662629333,2455895.7996514165,0.3712114391577067,1.0748425893491567,4.989374766620061,,0.20196672801600188,145563
16,20.884974424750002,2455895.5238409447,0.3791553114505743,0.971749772471191,5.0651977813645965,,0.24185089928109307,153583
17,20.88514066416125,2455895.8915338404,0.32903335182733995,1.0534844027041963,4.8016966579786855,,0.5414453601248469,137142
18,20.88440746570984,2455895.645046911,0.3553299988432012,0.979783400602655,5.127503983518964,,0.3481982402477126,129523
19,20.885286954998495,2455895.592508088,0.35911968239327563,0.9722997643841043,5.0040409731742574,,0.4062626785007248,132330
20,20.884554652428633,2455895.641391346,0.3503158766045051,1.0021351657384225,5.044392522164295,,0.4024440671866805,128320
21,20.885720202999543,2455895.7585214633,0.3565175522692796,0.9897240278862387,5.089347550159856,,8.502873777928397e-08,149172
22,20.88528017679446,2455895.796239074,0.3535857863148886,1.0291404929345795,5.107960761924872,,0.11378958390789205,70175
23,20.885768659080963,2455895.620706857,0.3383289631040021,0.9579327688693312,4.9853802056790295,,0.06743638392781749,131929
24,20.883781122586964,2455895.791526419,0.34000277887368124,1.0420120117199156,5.037764621662858,,5.968536404960652e-08,131528
25,20.885617712449804,2455895.56765083,0.3580767358608892,0.9614643789723373,5.251885917194297,,0.24050261680312737,138345
26,20.88484735846893,2455895.866416499,0.34817016813001417,1.0338577286055621,5.2165981962840915,,0.26410960781503984,128721
27,20.884804111289803,2455895.535773364,0.3615841306620565,0.9387323222837721,4.9609869897483785,,8.074176071858146e-08,158395
28,20.884540996259517,2455895.511811998,0.3325366047246715,0.9414840638832348,5.027473720166344,,0.30495451306174104,130325
29,20.885811170818226,2455895.5389747764,0.33147111351734404,0.9443113404803269,4.952253744579079,,0.11566140823182708,126315
30,20.885194657367478,2455895.8124978994,0.35590948157410285,1.041010800155697,5.105841664139195,,5.976170716847661e-08,125914
31,20.884739595815706,2455895.8470555274,0.3380311620134713,1.0444160296411833,4.982741166671081,,2.8560817982914683e-07,150776
32,20.88418809427296,2455895.7849812773,0.34060082542657405,1.0630261307191982,5.098363209014944,,0.2182469929631897,128721
33,20.885873198201498,2455895.707729782,0.3461074477863223,1.0215424935355286,5.054817127582824,,0.4880665628413822,128320
34,20.884788887305852,2455895.4687517337,0.34352179384452436,0.9288083946230111,5.025738316594181,,0.3281800842249376,127117
35,20.88547247860478,2455895.720097943,0.35894990624451156,1.0084204532105447,5.225813449494735,,0.13763734413402606,141954
36,20.88574015518875,2455895.605816189,0.32653728556810235,0.96642260088246,5.043149364353662,,0.28781970639060606,133533
37,20.8857548057998,2455895.487327658,0.3629175742285648,0.905684342223592,5.003208780585675,,0.21833445395613307,133132
38,20.885670271013407,2455895.341678754,0.3449398805671887,0.8702348799765486,5.18382650565936,,6.991429512859932e-08,145563
39,20.885318478286997,2455895.803393797,0.33186136633824337,0.993522904338326,5.089280082412977,,0.07151783239412393,134335
40,20.88500905901157,2455895.676840894,0.35144530088195175,1.006722913664498,5.039558337773381,,0.05193833213071113,135137
41,20.88507970028147,2455895.845430462,0.33449994808452876,1.0617977020968405,4.9170911441409695,,0.07526778443863323,135538
42,20.885990474276795,2455895.82346068,0.3266767065208596,1.022253386711662,4.936858597722542,,0.22516955514003037,141152
43,20.885310067458875,2455895.866258671,0.32105028044693384,1.057701755659065,5.101559331690219,,0.228704148457785,134736
44,20.884652812647968,2455895.8354448373,0.3331570636713715,1.0563333299110846,5.162912068183,,0.19634965082315506,147167
45,20.885649919381496,2455895.9428366804,0.37429224238593756,1.0583326104866895,5.165384225690253,,0.45024815911934074,132330
46,20.885248811513943,2455895.817157986,0.3289938475255918,1.0693608252144233,5.1429571404234276,,5.5976559892075156e-08,142355
47,20.884943133553957,2455895.7744328184,0.34261754191560106,1.0286144159227981,4.970042935080202,,0.07554053124188122,141152
48,20.8844290067582,2455895.617924349,0.35507505711410015,0.9909628272354938,4.971159338180319,,0.13468040404492346,134335
49,20.884810588767856,2455895.609090917,0.355451587783283,1.0170993778658692,5.062035176796526,,0.2272655663208857,133934
