solver,median_fit_seconds,median_native_fit_seconds,median_slowdown_vs_native,median_us_per_solve,median_n_solves
newton,0.9460615004936699,0.045344958489295095,17.30068642749073,7.116082227572736,131127.0
danby,1.0254610419797245,0.05005545850144699,18.529525022737708,7.3508981225935734,136139.5
markley,1.0003892295062542,0.044938958482816815,22.292346489330413,7.676111486715935,130325.0
nwm9,1.3467141665169038,0.04534893698291853,30.635211903557973,9.686158667235857,140751.0
nwm11,1.2264518750016578,0.04367052103043534,27.779144479231515,9.239530795392911,132731.0
