,posterior_sigma
e,0.017518750744001596
omega,0.055886184695700065
K,0.10417091436548682
P,0.0006435158089699849
tc,0.0910351340916586
jit_a,0.24165404381466934
jit_j,0.14831525019130043
jit_k,0.20434148381297718
